RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
111328631;0 ;2025-08-31 19:00:00;master;dbo;DatabaseLog_Server;3866913;17610;16822;746;41;S;162;93269;1;1611;S;5;3;5 - Até 50.000 MB;3 - Crescimento dentro do normal;master.dbo.DatabaseLog_Server;-466.4166666666667;5.673913043478261;-95925.91666666667;2952.913043478261;0.00;0.00;0.00;0.00;2025-08-31
111328632;0 ;2025-08-31 19:00:00;master;dba;Log_AcessosDiretosAoSQL;7527401;1993;1083;909;0;S;75;280336;6;23049;N;4;3;4 - Até 10.000 MB;3 - Crescimento dentro do normal;master.dba.Log_AcessosDiretosAoSQL;89.66666666666667;1.9456521739130435;332659.0;7216.826086956522;0.00;0.00;0.00;0.00;2025-08-31
111328633;1 ;2025-08-31 19:00:00;master;dba;LOG_CHECKDB;1802;5;4;0;0;S;-2;-20945;-2;-20963;N;1;2;1 - Até 50 MB;2 - Redução do tamanho ou linhas;master.dba.LOG_CHECKDB;0.08333333333333333;0.0;59.333333333333336;1.576086956521739;0.00;0.00;-0.01;-0.01;2025-08-31
111328634;1 ;2025-08-31 19:00:00;master;dba;Log_LatenciaDeDiscoDoSQL;8360;5;3;0;0;S;1;376;0;0;S;1;3;1 - Até 50 MB;3 - Crescimento dentro do normal;master.dba.Log_LatenciaDeDiscoDoSQL;0.16666666666666666;0.010869565217391304;352.3333333333333;12.706521739130435;0.00;0.00;0.00;0.00;2025-08-31
111328635;1 ;2025-08-31 19:00:00;master;dba;Atualiza_Estatisticas;0;2;2;0;0;S;0;0;0;-255;N;1;2;1 - Até 50 MB;2 - Redução do tamanho ou linhas;master.dba.Atualiza_Estatisticas;0.0;0.0;-46.25;0.05434782608695652;0.00;0.00;0.00;-0.01;2025-08-31
111328636;0 ;2025-08-31 19:00:00;master;dba;Eventos_Rastreados;93;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Eventos_Rastreados;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111328637;1 ;2025-08-31 19:00:00;master;dba;FK_ComProblemas;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.FK_ComProblemas;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111328638;1 ;2025-08-31 19:00:00;master;dba;_CheckList_Espacodisco;7;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba._CheckList_Espacodisco;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111328639;0 ;2025-08-31 19:00:00;master;dba;Arquivos_Dos_Databases;308;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Arquivos_Dos_Databases;0.0;0.0;0.3333333333333333;0.0;0.00;0.00;0.00;0.00;2025-08-31
111328640;0 ;2025-08-31 19:00:00;master;dba;LOG_ErrosDesfragmentacaoDeIndices;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.LOG_ErrosDesfragmentacaoDeIndices;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
