RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
113771554;0 ;2026-01-31 19:00:00;master;dbo;DatabaseLog_Server;4328707;18645;17780;823;41;S;239;86548;1;1915;S;5;3;5 - Até 50.000 MB;3 - Crescimento dentro do normal;master.dbo.DatabaseLog_Server;-408.3333333333333;7.217391304347826;-91053.83333333333;3008.0652173913045;0.00;0.00;0.00;0.00;2026-01-31
113771555;0 ;2026-01-31 19:00:00;master;dba;Log_AcessosDiretosAoSQL;8910634;2361;1285;1075;0;S;55;209421;4;17161;N;4;3;4 - Até 10.000 MB;3 - Crescimento dentro do normal;master.dba.Log_AcessosDiretosAoSQL;80.58333333333333;1.7282608695652173;300355.1666666667;6472.673913043478;0.00;0.00;0.00;0.00;2026-01-31
113771556;1 ;2026-01-31 19:00:00;master;dba;LOG_CHECKDB;24085;7;4;1;0;S;0;31;0;0;S;1;3;1 - Até 50 MB;3 - Crescimento dentro do normal;master.dba.LOG_CHECKDB;-0.16666666666666666;0.0;-1593.0;14.673913043478262;0.00;0.00;0.00;0.00;2026-01-31
113771557;1 ;2026-01-31 19:00:00;master;dba;Log_LatenciaDeDiscoDoSQL;10475;6;4;0;1;S;0;349;0;0;N;1;3;1 - Até 50 MB;3 - Crescimento dentro do normal;master.dba.Log_LatenciaDeDiscoDoSQL;0.25;0.010869565217391304;393.9166666666667;12.021739130434783;0.00;0.00;0.00;0.00;2026-01-31
113771558;1 ;2026-01-31 19:00:00;master;dba;Atualiza_Estatisticas;0;2;2;0;0;S;0;0;0;0;N;1;1;1 - Até 50 MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Atualiza_Estatisticas;0.0;0.0;-21.25;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771559;0 ;2026-01-31 19:00:00;master;dba;Eventos_Rastreados;93;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Eventos_Rastreados;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771560;1 ;2026-01-31 19:00:00;master;dba;FK_ComProblemas;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.FK_ComProblemas;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771561;1 ;2026-01-31 19:00:00;master;dba;_CheckList_Espacodisco;7;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba._CheckList_Espacodisco;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771562;0 ;2026-01-31 19:00:00;master;dba;Arquivos_Dos_Databases;308;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Arquivos_Dos_Databases;0.0;0.0;0.3333333333333333;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771563;0 ;2026-01-31 19:00:00;master;dba;LOG_ErrosDesfragmentacaoDeIndices;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.LOG_ErrosDesfragmentacaoDeIndices;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771564;0 ;2026-01-31 19:00:00;master;dba;LOG_ReindexarEReconstruirArquivoLOG;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.LOG_ReindexarEReconstruirArquivoLOG;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771565;1 ;2026-01-31 19:00:00;master;dba;MissedIndexes;65;0;0;0;0;S;0;-137;0;0;N;0;2;0 - Zero MB;2 - Redução do tamanho ou linhas;master.dba.MissedIndexes;0.0;0.0;0.3333333333333333;-1.4891304347826086;0.00;0.00;-0.01;0.00;2026-01-31
113771566;0 ;2026-01-31 19:00:00;master;dba;t_loginmap;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.t_loginmap;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771567;1 ;2026-01-31 19:00:00;master;dba;TR;1;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.TR;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771568;0 ;2026-01-31 19:00:00;master;dba;UltimasExecucoes;2;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.UltimasExecucoes;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771569;1 ;2026-01-31 19:00:00;master;dba;upg_loginmap;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.upg_loginmap;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771570;0 ;2026-01-31 19:00:00;master;dba;UtilizacaoIndices;66;0;0;0;0;S;0;-60;0;0;N;0;2;0 - Zero MB;2 - Redução do tamanho ou linhas;master.dba.UtilizacaoIndices;-0.08333333333333333;0.0;-149.91666666666666;-0.6521739130434783;0.00;0.00;0.00;0.00;2026-01-31
113771571;1 ;2026-01-31 19:00:00;master;dbo;Backup_Tabelas_Sati_206296_Asantos;1;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dbo.Backup_Tabelas_Sati_206296_Asantos;0.0;0.0;0.1111111111111111;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771572;1 ;2026-01-31 19:00:00;master;dbo;dtproperties;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dbo.dtproperties;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771573;0 ;2026-01-31 19:00:00;master;dbo;helpsql;2264;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dbo.helpsql;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771574;1 ;2026-01-31 19:00:00;master;dbo;HostOwner;19;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dbo.HostOwner;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771575;0 ;2026-01-31 19:00:00;master;dbo;MSreplication_options;3;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dbo.MSreplication_options;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771576;1 ;2026-01-31 19:00:00;master;dbo;spt_fallback_db;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dbo.spt_fallback_db;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771577;0 ;2026-01-31 19:00:00;master;dbo;spt_fallback_dev;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dbo.spt_fallback_dev;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771578;1 ;2026-01-31 19:00:00;master;dbo;spt_fallback_usg;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dbo.spt_fallback_usg;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771579;0 ;2026-01-31 19:00:00;master;dbo;spt_monitor;1;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dbo.spt_monitor;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771580;1 ;2026-01-31 19:00:00;master;dbo;Tabelas_Morelli;144;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dbo.Tabelas_Morelli;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2026-01-31
113771581;0 ;2026-01-31 19:00:00;msdb;dbo;sysmail_mailitems;70997;912;906;0;5;S;1;185;0;0;N;3;3;3 - Até 1.000 MB;3 - Crescimento dentro do normal;msdb.dbo.sysmail_mailitems;1.4166666666666667;0.03260869565217391;241.58333333333334;8.51086956521739;0.00;0.00;0.00;0.00;2026-01-31
113771582;1 ;2026-01-31 19:00:00;msdb;dbo;sysjobhistory;223996;100;93;7;0;S;2;3721;3;41;N;2;3;2 - Até 100 MB;3 - Crescimento dentro do normal;msdb.dbo.sysjobhistory;2.9166666666666665;-0.021739130434782608;8551.25;137.41304347826087;0.00;0.00;0.00;0.00;2026-01-31
