RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
112295384;0 ;2025-10-31 19:00:00;master;dbo;DatabaseLog_Server;4053735;17986;17167;776;41;S;172;87617;6;3685;S;5;3;5 - Até 50.000 MB;3 - Crescimento dentro do normal;master.dbo.DatabaseLog_Server;-444.3333333333333;5.923913043478261;-92814.25;3053.6304347826085;0.00;0.00;0.00;0.00;2025-10-31
112295385;0 ;2025-10-31 19:00:00;master;dba;Log_AcessosDiretosAoSQL;8306104;2200;1199;1000;0;S;123;460616;2;8117;S;4;3;4 - Até 10.000 MB;3 - Crescimento dentro do normal;master.dba.Log_AcessosDiretosAoSQL;85.58333333333333;3.0652173913043477;317262.9166666667;11512.467391304348;0.00;0.00;0.00;0.00;2025-10-31
112295386;1 ;2025-10-31 19:00:00;master;dba;LOG_CHECKDB;22735;7;4;1;0;S;0;-22;0;0;N;1;2;1 - Até 50 MB;2 - Redução do tamanho ou linhas;master.dba.LOG_CHECKDB;-0.16666666666666666;0.0;-1692.25;-0.13043478260869565;0.00;0.00;0.00;0.00;2025-10-31
112295387;1 ;2025-10-31 19:00:00;master;dba;Log_LatenciaDeDiscoDoSQL;9375;5;4;0;1;S;0;484;0;6;S;1;5;1 - Até 50 MB;5 - Quantidade de linhas fora do limite de crescimento mensal;master.dba.Log_LatenciaDeDiscoDoSQL;0.25;0.010869565217391304;375.4166666666667;15.076086956521738;0.00;0.00;0.00;0.00;2025-10-31
112295388;1 ;2025-10-31 19:00:00;master;dba;Atualiza_Estatisticas;0;2;2;0;0;S;0;-279;0;0;N;1;2;1 - Até 50 MB;2 - Redução do tamanho ou linhas;master.dba.Atualiza_Estatisticas;0.0;0.0;2.0;-3.467391304347826;0.00;0.00;-0.01;0.00;2025-10-31
112295389;0 ;2025-10-31 19:00:00;master;dba;Eventos_Rastreados;93;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Eventos_Rastreados;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-10-31
112295390;1 ;2025-10-31 19:00:00;master;dba;FK_ComProblemas;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.FK_ComProblemas;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-10-31
112295391;1 ;2025-10-31 19:00:00;master;dba;_CheckList_Espacodisco;7;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba._CheckList_Espacodisco;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-10-31
112295392;0 ;2025-10-31 19:00:00;master;dba;Arquivos_Dos_Databases;308;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Arquivos_Dos_Databases;0.0;0.0;0.3333333333333333;0.0;0.00;0.00;0.00;0.00;2025-10-31
112295393;0 ;2025-10-31 19:00:00;master;dba;LOG_ErrosDesfragmentacaoDeIndices;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.LOG_ErrosDesfragmentacaoDeIndices;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-10-31
