RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
111804027;0 ;2025-09-30 19:00:00;master;dbo;DatabaseLog_Server;3966118;17814;17011;762;41;S;205;100816;6;3541;S;5;3;5 - Até 50.000 MB;3 - Crescimento dentro do normal;master.dbo.DatabaseLog_Server;-457.6666666666667;6.434782608695652;-94273.08333333333;3049.695652173913;0.00;0.00;0.00;0.00;2025-09-30
111804028;0 ;2025-09-30 19:00:00;master;dba;Log_AcessosDiretosAoSQL;7845488;2077;1129;947;0;S;90;341136;4;13393;S;4;3;4 - Até 10.000 MB;3 - Crescimento dentro do normal;master.dba.Log_AcessosDiretosAoSQL;88.33333333333333;2.3043478260869565;326749.25;8615.510869565218;0.00;0.00;0.00;0.00;2025-09-30
111804029;1 ;2025-09-30 19:00:00;master;dba;LOG_CHECKDB;22757;7;4;1;0;S;0;-8;0;0;N;1;2;1 - Até 50 MB;2 - Redução do tamanho ou linhas;master.dba.LOG_CHECKDB;-0.08333333333333333;0.021739130434782608;-1686.4166666666667;227.81521739130434;0.00;0.00;0.00;0.00;2025-09-30
111804030;1 ;2025-09-30 19:00:00;master;dba;Log_LatenciaDeDiscoDoSQL;8891;5;4;0;1;S;0;531;0;7;S;1;5;1 - Até 50 MB;5 - Quantidade de linhas fora do limite de crescimento mensal;master.dba.Log_LatenciaDeDiscoDoSQL;0.25;0.010869565217391304;357.4166666666667;15.021739130434783;0.00;0.00;0.00;0.00;2025-09-30
111804031;1 ;2025-09-30 19:00:00;master;dba;Atualiza_Estatisticas;279;2;2;0;0;S;0;24;0;279;S;1;5;1 - Até 50 MB;5 - Quantidade de linhas fora do limite de crescimento mensal;master.dba.Atualiza_Estatisticas;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804032;0 ;2025-09-30 19:00:00;master;dba;Eventos_Rastreados;93;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Eventos_Rastreados;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804033;1 ;2025-09-30 19:00:00;master;dba;FK_ComProblemas;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.FK_ComProblemas;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804034;1 ;2025-09-30 19:00:00;master;dba;_CheckList_Espacodisco;7;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba._CheckList_Espacodisco;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804035;0 ;2025-09-30 19:00:00;master;dba;Arquivos_Dos_Databases;308;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;master.dba.Arquivos_Dos_Databases;0.0;0.0;0.3333333333333333;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804036;0 ;2025-09-30 19:00:00;master;dba;LOG_ErrosDesfragmentacaoDeIndices;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.LOG_ErrosDesfragmentacaoDeIndices;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804037;0 ;2025-09-30 19:00:00;master;dba;LOG_ReindexarEReconstruirArquivoLOG;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;master.dba.LOG_ReindexarEReconstruirArquivoLOG;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-09-30
111804038;1 ;2025-09-30 19:00:00;master;dba;MissedIndexes;202;0;0;0;0;S;0;24;0;0;S;0;5;0 - Zero MB;5 - Quantidade de linhas fora do limite de crescimento mensal;master.dba.MissedIndexes;0.0;0.0;-68.66666666666667;-0.532608695652174;0.00;0.00;0.00;0.00;2025-09-30
